athlete,athleteLabel,sportLabel,award,awardLabel,medalTypeLabel,year,countryLabel
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q42307908,орден Отечества III степени,,2012,Беларусь
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q42307908,орден Отечества III степени,,2012,СССР
http://www.wikidata.org/entity/Q1334428,Йоханнес Тинес Бё,биатлон,http://www.wikidata.org/entity/Q1734266,премия Каролины,,2012,Норвегия
http://www.wikidata.org/entity/Q76455,Магдалена Нойнер,биатлон,http://www.wikidata.org/entity/Q541985,медаль Хольменколлена,,2012,Германия
http://www.wikidata.org/entity/Q315034,Эмиль Хегле Свендсен,биатлон,http://www.wikidata.org/entity/Q541985,медаль Хольменколлена,,2012,Норвегия
http://www.wikidata.org/entity/Q265382,Валентина Александровна Семеренко,биатлон,http://www.wikidata.org/entity/Q29561485,орден княгини Ольги II степени,,2013,Украина
http://www.wikidata.org/entity/Q276867,Елена Михайловна Билосюк,биатлон,http://www.wikidata.org/entity/Q25433232,знак отличия Тернопольского городского совета,,2013,Украина
http://www.wikidata.org/entity/Q276867,Елена Михайловна Билосюк,биатлон,http://www.wikidata.org/entity/Q29561486,орден княгини Ольги III степени,,2013,Украина
http://www.wikidata.org/entity/Q276867,Елена Михайловна Билосюк,биатлон,http://www.wikidata.org/entity/Q25433232,знак отличия Тернопольского городского совета,,2013,СССР
http://www.wikidata.org/entity/Q276867,Елена Михайловна Билосюк,биатлон,http://www.wikidata.org/entity/Q29561486,орден княгини Ольги III степени,,2013,СССР
http://www.wikidata.org/entity/Q359348,Мартен Фуркад,биатлон,http://www.wikidata.org/entity/Q541985,медаль Хольменколлена,,2013,Франция
http://www.wikidata.org/entity/Q265382,Валентина Александровна Семеренко,биатлон,http://www.wikidata.org/entity/Q29561484,орден княгини Ольги I степени,,2014,Украина
http://www.wikidata.org/entity/Q15918908,Владислав Алексеевич Лекомцев,биатлон,http://www.wikidata.org/entity/Q18080423,орден «За заслуги перед Отечеством» IV степени,,2014,Россия
http://www.wikidata.org/entity/Q771410,Габриэла Соукалова,биатлон,http://www.wikidata.org/entity/Q26936132,Серебряная медаль председателя Сената,,2014,Чехия
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q541985,медаль Хольменколлена,,2014,Россия
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q1365037,Герой Беларуси,,2014,Россия
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q541985,медаль Хольменколлена,,2014,Беларусь
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q1365037,Герой Беларуси,,2014,Беларусь
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q541985,медаль Хольменколлена,,2014,СССР
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q1365037,Герой Беларуси,,2014,СССР
